"College_code","College_name"
"E001","University Visveswariah College of Engineering Bangalore"
"E002","S K S J T Institute of Engineering. Bangalore"
"E003","E003 B M S College of Engineering Basavanagudi,Bangalore"
"E004","Dr. Ambedkar Institute Of Technology Bangalore"
"E005","R. V. College of Engineering Bangalore"
"E006","M S Ramaiah Institute of Technology Bangalore"
"E007","Dayananda Sagar College of Engineering Bangalore"
"E008","Bangalore Institute of Technology Bangalore"
"E009","P E S University (Ring Road Campus) Bangalore"
"E011","M V J College of Engineering Bangalore"
"E012","Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore"
"E013","Ghousia Engineering College Ramanagara"
"E014","S J C Institute of Technology Chickballapur"
"E015","Dr.T.Thimmaiah Institute of Technology BANGARAPET -TQ kolar District"
"E016","Siddaganga Institute of Technology Tumkur"
"E017","Sri Siddartha Institute of Technology Tumkur"
"E018","Kalpatharu Institute of Technology Tiptur"
"E021","Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.) Mysore"
"E022","The National Institute of Engineering Mysore"
"E023","P E S College of Engineering Mandya"
"E024","Malnad College of Engineering Hassan"
"E028","Tontadarya College of Engineering Gadag"
"E029","Maratha Mandal Engineering College Belgaum"
"E030","KLE Technological University(Formerly BVBCET) Hubli"
"E031","Basaveshwara Engineering College Bagalkot"
"E032","R.T.E Socity`s Rural Engineering College Hulkoti"
"E033","Sri Taralabalu Jagadguru Institute of Technology. Ranebennur"
"E034","Sri Dharmasthala Manjunatheswara College of Engineering Dharwad"
"E035","Anjuman Engineering College Bhatkala, Uttar kannada Dist"
"E036","KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.) Belgaum"
"E037","K.L.S. Gogte Institute of Technology Belgaum"
"E038","B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech. vijayapur"
"E040","Hira Sugar Institute of Technology Belagavi District"
"E041","P D A College of Engineering Gulbarga"
"E042","Khaja Banda Nawaz University Kalburgi"
"E043","Gurunanak Dev Engineering College Bidar"
"E044","Bheemanna Khandre Institute of Technology Bhalki"
"E045","Rao Bahadur Y.Mahabaleswarappa Engineering College Bellari"
