College_code,Dept,1G,1K,1R,2AG,2AK,2AR,2BG,2BR,3AG,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STR,STK,2BK,3AK
E001,CV,111740.28,40135.18,133311.72,108832.58,120795.62,122957.94,100647.63,101279.22,85742.38,91716.99,96745.5,112395.56,106123.58,71414.89,82096.16,85941.54,104992.7,121767.35,165901.62,106256.73,96864.82,,,
E001,CS,6086.85,,14515.03,5469.05,8008.77,7270.52,6174.8,,4402.83,6059.6,4303.31,,,3820.66,6620.97,5409.84,18723.23,25593.46,25165.2,13548.18,17716.08,18192.22,,
E001,EC,15043.21,19599.2,19049.33,15324.78,17656.26,17417.63,19572.91,44204.16,10859.46,13912.78,11385.79,14927.32,15459.85,9668.78,14208.48,12939.83,35271.11,50431.46,50011.45,29750.25,40600.03,,55038.93,13200.52
E001,EE,36623.73,,,34797.46,43007.65,51270.93,45848.38,,24454.29,,28279.2,,32968.39,22646.6,31054.66,29639.2,63898.79,67315.79,71462.34,61146.72,,,94772.5,37888.38
E001,IS,7910.54,,,6931.18,,8611.1,8299.68,29502.68,5295.26,9155.1,5550.5,,,5107.76,6360.38,5892.2,23706.5,36387.02,35198.69,19655.85,25116.61,19648.2,,
E001,ME,89844.52,,92138.09,115378.01,95172.81,113929.94,109061.91,146588.16,78004.78,85444.84,95186.12,118413.23,120800.36,64087.45,79368.68,81447,144588.19,163376.38,164489.29,129585.07,156016.98,168332.42,,
E001,AI,10579.63,,,10188.88,,12177.05,11694.95,,7898.79,18297.62,7960.43,,,6897.88,10046.26,9581.41,26568.13,,45514.45,20664.87,30448.84,,,
E002,CV,96351.76,,,172861.12,31134.16,133460.4,170751.29,,125972.25,46099.36,125788.83,,160996.61,137793.83,142461.55,161415.33,169685.19,114466.11,97060.55,169793.09,40547.62,,,
E002,CS,26313.72,,,27493.71,33171.9,27574.15,27056.63,35361.96,23102.94,22079.16,23841.75,,26056.74,21266.24,22976.02,21061.58,32381.03,41337.98,44721.46,29100.33,,,,
E002,EC,52751.54,,65679.17,42098.23,43063.92,50133.88,56567.14,,38114.22,,40022.87,,39754.44,34688,40573.77,41582.18,66743.53,87241.15,68927.28,61402.01,57994.01,,,
E002,ST,103850,,,93976.31,,95448.04,,,,,116681.8,72018.82,,180255.97,108744.38,98879.98,114999.16,,90004.36,117567.86,,,,
E002,TX,108795.97,,,142314.73,,116915.72,133502.39,,96876.44,,124693.81,150883.02,,185476.81,73432.71,108059.21,142650.54,,106527.42,78962.52,,,,
E003,CV,52876.16,,104732.04,79070.4,,41440.37,95271.49,,59502.7,74269.73,64036.65,,78648.79,46749.14,50094.31,68160.47,111052.98,117989.74,139849.54,76934.98,,,44693.68,
E003,EC,5892.34,,13784.88,6941.49,14178.83,11540.63,13162.01,18745.52,4706.35,8628.88,4748.41,8441.54,5740.19,3438.37,8221.84,7945.63,22409.26,,33190.46,26434.73,,,,
E003,EE,25164.23,,,22752.63,24411.67,30383.44,25961.74,71121.66,19039.78,22710.88,18896.83,31400.02,26089.98,15218.92,18264.07,25334.53,58972.55,40243.85,90054.46,41795.33,91877.08,,,
E003,IM,99359.44,,,108890,48993.42,62793.45,78704.78,139269.67,65378.93,112225.06,78322.07,,122643.44,51987.29,96877.05,81356.74,138777.05,,150907.14,135981.18,,,,
E003,ME,105083.95,,104616.93,58192.14,,79184.52,78393.38,,42350.9,,39571.22,,68983.04,35366.75,44117.31,51006.41,118607.33,123182.8,130547.08,102070.56,,,,
E004,CV,159310.92,,,152461.22,79325.14,157635.98,138752.88,,129421.48,,128671.5,,151881.27,138729.67,127475.21,128422.81,159337.06,130101.18,134434.58,174151,,,,
E004,CS,13266.88,,20196.77,13173.32,22607.54,14245.49,14838.35,30147.64,12353.83,,12129.43,,13993.04,10565.75,13493.91,12442.82,27073.82,,34833.58,21983.03,31748.3,,75644,
E004,EC,26302.96,,30849.62,25612.92,26256.22,31153.8,34778.46,81482.11,23838.4,25799.37,24589.34,,25536.04,20331.26,22852.85,23680.19,53209.17,63322.86,68938.32,56537.86,,,,
E004,EE,54808.48,,,50941.79,80347.82,75696.95,58680.14,92327.58,46226.47,72123.93,45764.87,,69207.68,41362.32,51971.63,52280.04,89645.24,141339.94,122457.75,88245.66,,,,
E004,IM,111300.46,,,146976.71,,91741.18,107670.58,,170096.26,,101334.67,,,148458.41,120422.62,154262.66,83360.02,,110961.36,45529.02,,,,
E004,IT,56149.32,,,67374.72,,78868.08,55475.74,,39827.24,,56009.58,,65058,35289.62,47814.12,56159.88,93771.9,,99415.74,55659.14,,,,
E004,ME,164102.57,,,167511.8,36828.18,102880.15,158382.04,40698.4,146080.95,112312.31,165619.04,,48624.22,144866.99,147630.62,140004.24,182305.38,95479.88,165266.68,191120.93,,,,
E004,TC,79934.96,,,123111.37,,114175.62,81462.34,,57342.75,,96359.71,,,52861.69,121903.87,76961.45,118967.3,,110712.2,106729.54,,,,
E004,EI,83441.86,,,89086.25,,93162.3,110716.85,,66280.04,81211.24,81406.38,,,61650.37,82400.51,80738.25,165542.4,,,156929,,,,
E004,ET,74188.96,,,57912.42,,84912.31,84705.21,,51146.39,,55003.67,,,47528.82,66046.53,63027.66,115378.89,,,147613.85,,,,
E005,BT,40755.72,,,31652.16,,,19345.66,30499.76,21490.27,28973.62,23670.92,,,12184.26,36171.65,40330.32,30586.07,,,117224.19,82811.48,,,
E005,CV,35381.4,,74531.59,53948.94,126016.49,69811.59,31633.47,89827.06,41861.43,94555.98,38085.48,,114909.3,23939.08,34269.22,44106.78,67139.45,,79168.19,35196.33,,,58284.66,
E005,CH,49212.78,,,36547.37,,,26022.72,,14828.4,,12836.72,,,14482.85,23819.75,19791.07,51504.17,,,88935.28,53162.94,,,
E005,CS,816.47,,1357.97,1273.13,3606.06,2388.77,1807.03,3048.71,819.93,1307.08,681.11,2657.26,1166.76,387.45,1458.17,928.83,5737.25,11222.33,12086.69,7613.61,,,,
